'      號
,mf  狦
,mf1 狦
,mfu  獨家報導
,mg 狩
,mg.        狩
,mh    獳
,mh1           獳
,mj   獰
,mj          猾
,mk   加央市
,mk6     獨家新聞
,mm6  架空電車
,mo      狪
,mo      猧
,mu    狦
,mx/           獨家消息
,mz            獰
,mzj  獰
,n,           猭
,n2          獬
,n3m           狡兔三窟
,n96  狗急跳牆
,nb     加多了
,nc            獨角戲
,nmt  狼多肉少
,nn  獬
,nn2    獬
,o  加
,o.1 加州
,o.q           加航
,o.y        加為
,o/x          狗籠
,o0          迦
,o08       加鎖
,o1        狆
,o1d          加諸
,o1o    加詞
,o1x  加護
,o3          賀
,o38  賀
,o3d         加贈
,o4o 加點
,o5   力戰
,o55         加班
,o6k   加裝
,o75   加國
,o8          賀
,o8e  加粗
,o8j    加精
,o8s  加料
,o9    加足
,o9e           加上
,o9k          加餐
,o;a     加以
,o;y 狗熊
,oa 加入
,oa0 加進
,oa3         加值
,oak 狗食
,oao          加倍
,oap    狗命
,oau           加倫
,oau     加侖
,ob     駕
,oc            毠
,ocn  加劇
,odq            加冕
,odu        加盟
,odx           加數
,oe            哿
,oe8           狗頭
,oej      哿
,oen  加到
,oez 加惠
,of/ 加彭
,of5          加載
,ofr  力單勢弱
,ofy   加熱
,og9       加掛
,oh           鴐
,oh5         加成
,oh8         狗屎
,ohc            狗屁
,ohf           加壓
,oi  架
,oi0    加速
,oi5      加框
,oif           加權
,oj     狷
,oj  哿
,oj0  狗腿
,ok           袈
,okk           袈
,okk     加裡
,oko         加高
,okoh  狗嘴裡吐不出象牙
,okz     加意
,olx 加收
,om.  加寬
,om.       加冠
,om9  加定
,oma     狗肉
,omo      加害
,omr         加官
,omv          加央
,omw       加密
,onn        加多
,onz        加急
,oo 玁
,oo           犯嘀咕
,oo.     狗吠
,ooq     加號
,oox    玁
,oox            狗咬
,ooxm           狗咬呂洞賓
,ooxm 狗咬呂洞賓，不識好人心
,opk        加長
,oqb         加碼
,or   加工
,or8            加項
,or;     加強
,orp    加印
,ort    加緊
,osx           加鞭
,oto        加給
,otx            加線
,otx        加級
,otz      加總
,ou1     加薪
,oui 加菜
,ouu  加蓋
,ov        毠
,ov           加大
,ovc           毠
,ovf          加重
,ox   玁
,ox5     加減
,ox;    加法
,oxa      加滿
,oxf   加注
,oxi        加深
,oxk         加派
,oxs   加油
,oxz        加添
,oza   加快
,pe  狄斯可
,ph/7      狄斯耐樂園
,pku         獨身主義
,pv      狄斯奈
,pv/7            狄斯奈樂園
,q;     猦
,qdm      狂風暴雨
,qlo            狂風怒號
,qrx       狂風巨浪
,qy            狣
,r,t        狐群狗黨
,r/     犽
,r/c          力盡筋疲
,r1            狒
,r5           狘
,r6            加強版
,r9        加雅路
,rb           獼
,rb           狒
,rb1    狒
,rbx     獼
,rc         加工廠
,rhbo  狗改不了吃屎
,rhi         加工成本
,ri           狼牙棒
,rj        犽
,rj/ 犽
,rj9       加緊腳步
,rk        狠
,rla        加工收入
,ro  加工品
,rr        加工區
,rs        狃
,rs            峱
,ru  力盡
,ru     加工業
,rwor          加工出口區
,rx    獼
,s       獐
,s7           獚
,s8           獚
,scx         加勒比海
,se  獚
,se.       猶有可為
,se8      獚
,ser         力有未逮
,sg0  猝逝
,shr        力有不逮
,sj    猢
,sjy          猝然
,so            猢
,so         狜
,soj      猢
,t,e          獨斷獨行
,t1h       獨當一面
,ta            犯小人
,tee            獨斷專行
,tf           猩紅熱
,tr/        獠牙
,u           猛
,u,      力勸
,u,1            猛獅
,u.n        獲益良多
,u0            力道
,u0 加菜金
,u1   玂
,u2s  猛著先鞭
,u6.    猛將
,u6g            猛擊
,u7         貓
,u7 猶
,u8e            猛醒
,u;y   狗茍蠅營
,ua 獲
,ua0   猛進
,ua;      猛禽
,uax         獲
,ub,   猛勇
,uc            獨幕劇
,ucq    猛虎
,ud     獦
,udl    獦
,uey    猛烈
,uf  獾
,uf       猛士
,uf1            狹義地說
,ufc        加薩走廊
,ugd    猛拍
,ugf            猛推
,ugf  猛撞
,ugj      猛打
,uh0   猛追
,ujy      猛然
,ukk 猛襲
,ul   獦
,uo 獾
,uo 玂
,uo.          猛獸
,uo1           玂
,uoc       猛吃
,uof  獾
,upp            獨善其身
,urx   猛攻
,us9      力道十足
,ut3    猛省
,uu      獛
,uuv    獛
,uv     獛
,ux     獲
,uy           力薦
,uy       猛火
,v          猴
,v,         力夯
,v,t   猴猻
,v22       猴年
,v4      獯
,v7o    獲利回吐
,v8            獠
,v8t    獠
,va      狹
,va    獢
,va     猶太人
,vaa        狹
,vao 獢
,vbg     猴子
,vc    狂犬病
,vc5  猴戲
,vco           狼吞虎嚥
,ve    猗
,vej         猗
,vf     猶太教
,vj         猗
,vkhe    加利福尼亞州
,vl2       力大如牛
,vma,          加大宣傳力度
,vn       猁
,vnz       猴急
,vo   獢
,vp          迦太基
,vr3           獨夫民賊
,vt     獠
,vt9       力透紙背
,vv       獉
,vwq  猴兒
,wb        獡
,wby        獡
,wg      力學
,wq        猊
,wy        獡
,wzf 獨出心裁
,x   獲
,x,d            狡獪
,x,j     狡猾
,x,q            玁狁
,x,q         狻猊
,x,v  獮猴
,x.f      獲准
,x/            猀
,x1  狶
,x13      狡詐
,x1s       狡計
,x2o      獲知
,x43       獲罪
,x4o            狡黠
,x6v  獲獎
,x88          獲頒
,xa1   狡飾
,xe.      獲得
,xen  獲到
,xex   獲救
,xex         獲致
,xfx         獲赦
,xi8      狡賴
,xj,     獲勝
,xjs   獲釋
,xjz  獲悉
,xk 加油站
,xks 狡辯
,xn.     狡兔
,xpx           獲取
,xr0            獲選
,xs  狶
,xs1  狶
,xt       猀
,xt  獅潭鄉
,xt/   猀
,xuu       獲益
,xvn          獲利
,xvp     加減乘除
,xw   猣
,xwx      猣
,xx    猣
,xx8           加油添醋
,xxj    狡滑
,xxo         獲咎
,y         狄
,y0  逖
,yfj           狄青
,yq    狣
,yz  悐
,z       勰
,z,j           狼心狗肺
,zc    狹心症
- 鄉
-0         ︶
-0   ︸
-0 ﹀
-0   ︾
-0          ﹄
-0 ︼
-0          ′
-0       〞
-1      糎
-1            兛
-1     兞
-1  兝
-1      兡
-1    兣
-1            嗧
-1  瓩
-1 兙
-2           ⊙
-2            ㊣
-2     ◎
-2        ●
-2       ※
-2         ⊕
-2     ♂
-2   ♀
-3            ＋
-3         ＝
-3      ±
-3 ×
-3          ÷
-3 ∴
-3      ∵
-3      √
-3  ∟
-3     ∠
-3   ∩
-3    ∪
-3         ∫
-3      ∮
-3   ≒
-3          ≠
-3          ≡
-3          ≦
-3       ≧
-3           ⊥
-3        ⊿
-4       ↑
-4        ↗
-4          →
-4       ↘
-4   ↓
-4          ↙
-4     ←
-4     ↖
-4           ═
-4 ╱
-4            ╲
-4 ﹨
-4          －
-4        ∕
-4          ＼
-5    △
-5          ▲
-5      ☆
-5   ★
-5   ◇
-5         ◆
-5    □
-5    ■
-5           ▽
-5       ▼
-6  ╔
-6         ╦
-6          ║
-6        ╗
-6         ╠
-6    ╬
-6            ╣
-6        ╚
-6     ╩
-6         ╝
-6            ╭
-6           ╮
-6       ╰
-6  ╯
-7           ▁
-7  ▂
-7          ▃
-7        ▄
-7          ▅
-7       ▆
-7      ▇
-7 █
-7 ◢
-7 ◣
-8   ▏
-8    ▎
-8     ▍
-8            ▌
-8            ▋
-8 ▊
-8     ▉
-8       █
-8        ◥
-8          ◤
-9      ︵
-9 ︷
-9  ︿
-9           ︽
-9        ﹃
-9          ︻
-9      ‵
-9    〝
.          方
.   舟
.,9    永力路
..     舫
...  冷冰冰
....      冷冷
...d    冷凍
../       放冷箭
../a         冷笑
../n    冷箭
../u          冷血
../x         冷泉
..0f         冷鋒
..3k         冷眼
..6   冷門
..6        旅遊車
..8o       冷酷
..8p       冷卻
..9c       於此
..9o            朗朗上口
..a9a 方為人上人
..aa      冷飲
..ab       於今
..ao          冷凍食品
..as 冷僻
..c5         於戲
..c8           冷氣
..d0         冷遇
..d9           於是
..dx         冷暖
..ee   方方正正
..ey    於焉
..f          堃
..f       瓷土
..f 冷冷地
..f/  冷場
..fc    冷艷
..ff  永永遠遠
..fj         冷靜
..hg       旌旗所指
..hh           方方面面
..hp    冷面
..hz       冷感
..ie          於本
..ii          旅遊機構
..iir     船舶機械工程學系
..io           冷槍
..jo         瓷胎
..k        冷凍劑
..li           冷媒
..m         冷凍室
..m8            瓷實
..mg           冷字
..mo 冷宮
..mr          冷官
..my    瓷窯
..nc        冷色
..o       冷凝器
..o5     冷戰
..oo     瓷器
..oz          旅遊中心
..p1    於斯
..q.     瓷磚
..q; 冷風
..qc         瓷碗
..qt      旖旎風光
..r       旅遊巴
..sr   於左
..u     旅遊業
..u5         冷藏
..um         旌旗蔽空
..uo       冷落
..wx           冷峻
..x            冷水
..x    船舶法
..xj         冷清
..xs            冷汗
..xv    冷漠
..xx          冷冷清清
..xy    冷淡
..yi     冷煤
..z    冷心
..zz          淒淒慘慘
./.         方向盤
./. 方向舵
./.;      為鬼為蜮
.//   航管系
.//            資管系
./0   方向鍵
./4e         永樂西街
./5           艎
./7      遊樂園
./9  永樂路
./a    資策會
./b         為
./b          鄬
./bp          鄬
./by           為
./d          舶
./d         艎
./d           方簡
./d   為的是
./d5         艎
./e      永樂街
./f         遊樂場
./o            方向
./o   遊樂器
./p           鄬
./q  艞
./qy          艞
./r          為自己
./s          永樂巷
./v2            冷血動物
./vm           永樂大典
./y     為
./y          艞
./y   方向燈
.0          遊
.0            凎
.0,5        遊獵
.0.           遊方
.0.0    遊艇
.0.o    遊冶
.0/i      遊樂
.01c      遊記
.01q         遊說
.02x          遊牧
.05q      遊玩
.07k       遊園
.099   遊蹤
.0a       遊人
.0aa      遊俠
.0as            遊伴
.0aw   遊仙
.0b,      遊豫
.0bg        遊子
.0c5     遊戲
.0de         遊星
.0e;   遊魂
.0ej          遊行
.0ej        遊街
.0f9   遊走
.0h9       遊歷
.0mo         遊客
.0pk   艇長
.0r5      遊民
.0rq            遊覽
.0ruk           冶金工業部
.0s    方針
.0u/          遊蕩
.0u5            良金美玉
.0u; 遊藝
.0vz         遊憩
.0w 冶金學
.0w8          遊興
.0wg          遊學
.1  州
.1.           州
.1.      資訊族
.1.1      州
.1.1           冷言冷語
.1.a   冷語冰人
.1/  資訊系
.1/5w      資訊管理學系
.11            州
.11         准許證
.14x         放諸四海
.1a           資訊化
.1aa   冷語侵人
.1as     資訊傳真
.1df 州里
.1e      永順街
.1e      旅順街
.1fkw   資訊教育學系
.1h           資訊展
.1hk     永誌不忘
.1j     資訊月
.1jas  資訊股份有限公司
.1k  州立
.1k     資訊站
.1k1   放言高論
.1m       資訊室
.1mr         州官
.1mv       資訊週刊
.1pk      州長
.1pt    州際
.1r     艘
.1rp      州郡
.1ru    資訊工業
.1ru/           資訊工業策進會
.1rv            資訊工程
.1rv/           資訊工程系
.1rvw       資訊工程學系
.1sp8           資訊有限公司
.1t        資訊網
.1v       資訊科
.1vg         資訊科技
.1vww       資訊科學學系
.1w   艘
.1wmj  資訊與電腦
.1wx         艘
.1x         艘
.1z          方誌
.2.   旍
.2.;     良知良能
.2/  方物
.20        遊
.20   旞
.21       旆
.21           旂
.22   族
.22           旌
.22            鷟
.22e  旌
.22h       鷟
.22v   族
.23          舴
.24        旚
.24t     旚
.25      放牛班
.27         旛
.28     旗
.28 旟
.29           旋
.29  永年路
.29f         永無止境
.29r         永無止盡
.2a        旍
.2a      旝
.2a.    旍
.2a9        永無休止
.2ad        旝
.2b          遊
.2b         旋
.2b            施
.2b    斿
.2b0          遊
.2b9          旋
.2bc     施
.2bg          斿
.2c    施
.2c     旎
.2c      旄
.2d         旝
.2e  旌
.2e       永年街
.2g   斿
.2h  旎
.2h  旂
.2h      鷟
.2h1      旂
.2hc        旎
.2j       膂
.2j     旖
.2j   旛
.2j   旓
.2j7  旛
.2k   旅
.2k          旆
.2k  旒
.2k      旃
.2k1          旆
.2kq       旒
.2kto           永年高級中學
.2m        旃
.2m1    永無定論
.2md       永無寧日
.2mk            旃
.2ow         永年中學
.2p    旗
.2p8     旗
.2q         冼
.2q        斻
.2q      旐
.2q      旒
.2qy            旐
.2r            旅
.2r          膂
.2r.        遊牧民族
.2r1      永矢弗諼
.2rj 膂
.2rk 旅
.2s        旆
.2sk  永生難忘
.2t      旚
.2t          旓
.2t  資生堂
.2tj  旓
.2u         旞
.2u0    旞
.2v 族
.2v         旄
.2v            旖
.2vc       旄
.2vj           旖
.2w   旟
.2w8        旟
.2y    旐
.30 次目錄
.3ae    為非作歹
.3bz           遊目騁懷
.3kf     放眼望去
.3ku      冷眼旁觀
.4f            凐
.5.  方玲
.50        艇
.60      冷軋鋼
.6;i       斗轉參橫
.6a       冷門貨
.6dv        斗轉星移
.6ej  旗開得勝
.6k   斗六市
.6kto     斗六高級中學
.6mp     斗六家職
.6ow  斗六中學
.6x           冷開水
.6x       冰開水
.6x            凍開水
.722     為國犧牲
.78       方圓
.79           永豊路
.7a  遊園會
.7c          為因應
.7gb        為國捐驅
.7jt         為國爭光
.7o 凅
.7o            方略
.7s       凅
.7s       舳
.7so          凅
.7xxr  凝固汽油彈
.8    資
.8.  資方
.8.u  旗艦
.8/r   資管
.8/s  旗竿
.80 資金
.81o   旗語
.81s     資訊
.82z      冷酷無情
.83/   資財
.881 資斧
.88s      資料
.89            資料卡
.89          永公路
.8a  旗人
.8a           資料袋
.8bg    旗子
.8c       資料庫
.8c5           資料處理
.8c5v           資料處理科
.8c6m            資料庫軟體
.8cve   資料庫程式
.8e9           旗下
.8ex        資政
.8f       資料表
.8fx           旗鼓
.8g            旗手
.8h8       資質
.8h9 資歷
.8i       資料檔
.8i/  資材
.8ie       資本
.8im         資料檔案
.8io            資格
.8is        旗桿
.8it  旗標
.8j,            資助
.8k5          資望
.8kc           旗袍
.8ke        資產
.8kx            資敵
.8m           資料室
.8m5   旗幟
.8n         旗魚
.8o         船
.8o     方糖
.8o 冷卻器
.8o0    資遣
.8oq  旗號
.8oz 資料中心
.8ti     資料結構
.8u0    資送
.8v       資料夾
.8w         旗山
.8x        資料流
.8xf    旗津
.8xi           資深
.8xt        資源
.9        旋
.90f           旋鈕
.932     凝眸
.96.           旋轉
.97c         方趾圓顱
.97o       凝固
.97o       旋回
.97z       凝思
.99            永貞路
.99f     旋踵
.9;p       旋即
.9ef   旋律
.9fa            盤踞起伏
.9i          方桌
.9iz          凝想
.9jd  凝脂
.9k5    凝望
.9p, 凝聚
